FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
Read,2,1,INT,INV,0,31,NA,0,NA,1
Read,2,1,INT,VAT,NA,NA,31,1,NA,NA
Read,3,1,INT,INV,0,31,NA,0,NA,1
Read,3,1,INT,VAT,NA,NA,31,1,NA,NA
Read,4,1,INT,INV,8,30,NA,1,NA,1
Read,4,1,INT,VOR,8,30,NA,1,NA,NA
Read,4,1,INT,FVOR,8,30,NA,1,NA,NA
Read,4,1,INT,SS,NA,NA,NA,1,NA,NA
Read,4,1,INT,SS,NA,NA,NA,-1,NA,NA
Read,5,1,INT,INV,8,30,NA,1,NA,0
Read,5,1,INT,VOR,8,30,NA,1,NA,NA
Read,5,1,INT,FVOR,8,30,NA,1,NA,NA
Read,5,1,INT,SS,NA,NA,NA,1,NA,NA
Read,5,1,INT,SS,NA,NA,NA,-1,NA,NA
Read,6,1,BIN,BF,0,0,NA,NA,0,1
Read,6,1,BIN,BF,1,1,NA,NA,0,1
Read,6,1,BIN,BF,2,2,NA,NA,0,1
Read,6,1,BIN,BF,3,3,NA,NA,0,1
Send,1,1,INT,INV,0,3,NA,0,NA,1
Send,1,1,INT,VAT,NA,NA,3,1,NA,NA
Send,1,1,INT,FVAT,NA,NA,3,1,NA,NA
Send,2,1,INT,INV,0,31,NA,0,NA,1
Send,2,1,INT,VAT,NA,NA,31,1,NA,NA
Send,3,1,INT,INV,0,31,NA,0,NA,1
Send,3,1,INT,VAT,NA,NA,31,1,NA,NA
Send,4,1,INT,INV,8,30,NA,1,NA,1
Send,4,1,INT,VOR,8,30,NA,1,NA,NA
Send,4,1,INT,FVOR,8,30,NA,1,NA,NA
Send,4,1,INT,SS,NA,NA,NA,1,NA,NA
Send,4,1,INT,SS,NA,NA,NA,-1,NA,NA
Send,5,1,INT,INV,8,30,NA,1,NA,0
Send,5,1,INT,VOR,8,30,NA,1,NA,NA
Send,5,1,INT,FVOR,8,30,NA,1,NA,NA
Send,5,1,INT,SS,NA,NA,NA,1,NA,NA
Send,5,1,INT,SS,NA,NA,NA,-1,NA,NA
Send,6,1,BIN,BF,0,0,NA,NA,0,1
Send,6,1,BIN,BF,1,1,NA,NA,0,1
Send,6,1,BIN,BF,2,2,NA,NA,0,1
Send,6,1,BIN,BF,3,3,NA,NA,0,1
